#,Date-Time (EST),Ch: 1 - Temperature  °C (°C),Ch: 2 - Light  lux (lux),Button Down,Button Up,Host Connected,End of File
1,02/06/2021 20:00:00,4.29,1704,,,,
2,02/06/2021 20:10:00,4.24,1522,,,,
3,02/06/2021 20:20:00,4.16,1304,,,,
4,02/06/2021 20:30:00,3.99,1101,,,,
5,02/06/2021 20:40:00,3.99,931,,,,
6,02/06/2021 20:50:00,3.90,765,,,,
7,02/06/2021 21:00:00,3.86,656,,,,
8,02/06/2021 21:10:00,3.82,546,,,,
9,02/06/2021 21:20:00,4.16,441,,,,
10,02/06/2021 21:30:00,4.72,333,,,,
11,02/06/2021 21:40:00,5.06,227,,,,
12,02/06/2021 21:50:00,5.40,123,,,,
13,02/06/2021 22:00:00,5.36,0,,,,
14,02/06/2021 22:10:00,4.93,0,,,,
15,02/06/2021 22:20:00,4.50,0,,,,
16,02/06/2021 22:30:00,4.33,0,,,,
17,02/06/2021 22:40:00,4.12,0,,,,
18,02/06/2021 22:50:00,3.99,0,,,,
19,02/06/2021 23:00:00,3.90,0,,,,
20,02/06/2021 23:10:00,4.07,0,,,,
21,02/06/2021 23:20:00,4.59,0,,,,
22,02/06/2021 23:30:00,4.93,0,,,,
23,02/06/2021 23:40:00,5.27,0,,,,
24,02/06/2021 23:50:00,5.49,0,,,,
25,02/07/2021 00:00:00,5.36,0,,,,
26,02/07/2021 00:10:00,4.89,0,,,,
27,02/07/2021 00:20:00,4.50,0,,,,
28,02/07/2021 00:30:00,4.24,0,,,,
29,02/07/2021 00:40:00,4.03,0,,,,
30,02/07/2021 00:50:00,4.07,0,,,,
31,02/07/2021 01:00:00,4.59,0,,,,
32,02/07/2021 01:10:00,5.02,0,,,,
33,02/07/2021 01:20:00,5.36,0,,,,
34,02/07/2021 01:30:00,5.57,0,,,,
35,02/07/2021 01:40:00,5.19,0,,,,
36,02/07/2021 01:50:00,4.80,0,,,,
37,02/07/2021 02:00:00,4.46,0,,,,
38,02/07/2021 02:10:00,4.20,0,,,,
39,02/07/2021 02:20:00,4.03,0,,,,
40,02/07/2021 02:30:00,3.99,0,,,,
41,02/07/2021 02:40:00,4.63,0,,,,
42,02/07/2021 02:50:00,5.06,0,,,,
43,02/07/2021 03:00:00,5.32,0,,,,
44,02/07/2021 03:10:00,5.53,0,,,,
45,02/07/2021 03:20:00,5.10,0,,,,
46,02/07/2021 03:30:00,4.72,0,,,,
47,02/07/2021 03:40:00,4.50,0,,,,
48,02/07/2021 03:50:00,4.33,0,,,,
49,02/07/2021 04:00:00,4.20,0,,,,
50,02/07/2021 04:10:00,4.16,0,,,,
51,02/07/2021 04:20:00,4.07,0,,,,
52,02/07/2021 04:30:00,4.12,0,,,,
53,02/07/2021 04:40:00,4.03,0,,,,
54,02/07/2021 04:50:00,4.12,0,,,,
55,02/07/2021 05:00:00,4.07,0,,,,
56,02/07/2021 05:10:00,4.07,0,,,,
57,02/07/2021 05:20:00,4.12,0,,,,
58,02/07/2021 05:30:00,4.12,0,,,,
59,02/07/2021 05:40:00,4.16,0,,,,
60,02/07/2021 05:50:00,4.16,0,,,,
61,02/07/2021 06:00:00,4.20,0,,,,
62,02/07/2021 06:10:00,4.20,105,,,,
63,02/07/2021 06:20:00,4.16,212,,,,
64,02/07/2021 06:30:00,4.16,316,,,,
65,02/07/2021 06:40:00,4.16,418,,,,
66,02/07/2021 06:50:00,4.16,540,,,,
67,02/07/2021 07:00:00,4.12,642,,,,
68,02/07/2021 07:10:00,4.16,748,,,,
69,02/07/2021 07:20:00,4.16,892,,,,
70,02/07/2021 07:30:00,4.12,1091,,,,
71,02/07/2021 07:40:00,4.07,1301,,,,
72,02/07/2021 07:50:00,4.03,1487,,,,
73,02/07/2021 08:00:00,4.07,1681,,,,
74,02/07/2021 08:10:00,4.03,1893,,,,
75,02/07/2021 08:20:00,4.07,2066,,,,
76,02/07/2021 08:30:00,4.03,2249,,,,
77,02/07/2021 08:40:00,4.03,2436,,,,
78,02/07/2021 08:50:00,4.03,2641,,,,
79,02/07/2021 09:00:00,3.99,2812,,,,
80,02/07/2021 09:10:00,3.94,2973,,,,
81,02/07/2021 09:20:00,3.99,3153,,,,
82,02/07/2021 09:30:00,3.99,3320,,,,
83,02/07/2021 09:40:00,3.99,3493,,,,
84,02/07/2021 09:50:00,3.99,3662,,,,
85,02/07/2021 10:00:00,4.07,3820,,,,
86,02/07/2021 10:10:00,3.99,3850,,,,
87,02/07/2021 10:20:00,4.03,3840,,,,
88,02/07/2021 10:30:00,3.99,3850,,,,
89,02/07/2021 10:40:00,3.94,3857,,,,
90,02/07/2021 10:50:00,3.94,3853,,,,
91,02/07/2021 11:00:00,3.90,3860,,,,
92,02/07/2021 11:10:00,3.90,3860,,,,
93,02/07/2021 11:20:00,3.90,3853,,,,
94,02/07/2021 11:30:00,3.90,3853,,,,
95,02/07/2021 11:40:00,3.90,3857,,,,
96,02/07/2021 11:50:00,4.42,3867,,,,
97,02/07/2021 12:00:00,4.84,3850,,,,
98,02/07/2021 12:10:00,5.23,3853,,,,
99,02/07/2021 12:20:00,5.49,3850,,,,
100,02/07/2021 12:30:00,5.66,3846,,,,
101,02/07/2021 12:40:00,5.19,3857,,,,
102,02/07/2021 12:50:00,4.89,3853,,,,
103,02/07/2021 13:00:00,4.59,3857,,,,
104,02/07/2021 13:10:00,4.37,3860,,,,
105,02/07/2021 13:20:00,4.24,3850,,,,
106,02/07/2021 13:30:00,4.12,3853,,,,
107,02/07/2021 13:40:00,3.99,3853,,,,
108,02/07/2021 13:50:00,3.94,3857,,,,
109,02/07/2021 14:00:00,4.16,3850,,,,
110,02/07/2021 14:10:00,4.63,3846,,,,
111,02/07/2021 14:20:00,5.06,3844,,,,
112,02/07/2021 14:30:00,5.32,3840,,,,
113,02/07/2021 14:40:00,5.53,3844,,,,
114,02/07/2021 14:50:00,5.75,3840,,,,
115,02/07/2021 15:00:00,5.23,3836,,,,
116,02/07/2021 15:10:00,4.80,3844,,,,
117,02/07/2021 15:20:00,4.42,3836,,,,
118,02/07/2021 15:30:00,4.20,3846,,,,
119,02/07/2021 15:40:00,4.03,3857,,,,
120,02/07/2021 15:50:00,4.12,3850,,,,
121,02/07/2021 16:00:00,4.59,3853,,,,
122,02/07/2021 16:10:00,5.02,3846,,,,
123,02/07/2021 16:20:00,5.27,3840,,,,
124,02/07/2021 16:30:00,5.49,3846,,,,
125,02/07/2021 16:40:00,5.66,3844,,,,
126,02/07/2021 16:50:00,5.70,3846,,,,
127,02/07/2021 17:00:00,5.23,3846,,,,
128,02/07/2021 17:10:00,4.72,3846,,,,
129,02/07/2021 17:20:00,4.42,3853,,,,
130,02/07/2021 17:30:00,4.16,3853,,,,
131,02/07/2021 17:40:00,4.03,3846,,,,
132,02/07/2021 17:50:00,3.94,3853,,,,
133,02/07/2021 18:00:00,4.50,3850,,,,
134,02/07/2021 18:10:00,4.93,3689,,,,
135,02/07/2021 18:20:00,5.15,3516,,,,
136,02/07/2021 18:30:00,5.36,3338,,,,
137,02/07/2021 18:40:00,5.53,3180,,,,
138,02/07/2021 18:50:00,5.70,2996,,,,
139,02/07/2021 19:00:00,5.32,2824,,,,
140,02/07/2021 19:10:00,4.89,2656,,,,
141,02/07/2021 19:20:00,4.54,2492,,,,
142,02/07/2021 19:30:00,4.33,2257,,,,
143,02/07/2021 19:40:00,4.20,2056,,,,
144,02/07/2021 19:50:00,4.03,1875,,,,
145,02/07/2021 20:00:00,3.94,1693,,,,
146,02/07/2021 20:10:00,3.86,1504,,,,
147,02/07/2021 20:20:00,4.16,1294,,,,
148,02/07/2021 20:30:00,4.67,1093,,,,
149,02/07/2021 20:40:00,5.02,930,,,,
150,02/07/2021 20:50:00,5.36,763,,,,
151,02/07/2021 21:00:00,5.49,657,,,,
152,02/07/2021 21:10:00,5.62,542,,,,
153,02/07/2021 21:20:00,5.06,436,,,,
154,02/07/2021 21:30:00,4.67,331,,,,
155,02/07/2021 21:40:00,4.33,226,,,,
156,02/07/2021 21:50:00,4.12,123,,,,
157,02/07/2021 22:00:00,3.94,0,,,,
