"","colony_id","Light_Value","Run","Treatment","micromol.cm2.s","micromol.cm2.h","Date"
"1","FLD-0001","0",2,"Field-TP3",7.54587825974041e-05,0.271651617350655,2021-04-30
"2","FLD-0001","392",2,"Field-TP3",0.000267505902748424,0.963021249894326,2021-04-30
"3","FLD-0002","0",2,"Field-TP3",6.9741105105527e-05,0.251067978379897,2021-04-30
"4","FLD-0002","392",2,"Field-TP3",0.000256266206631025,0.922558343871689,2021-04-30
"5","FLD-0003","0",2,"Field-TP3",3.99431046008581e-05,0.143795176563089,2021-04-30
"6","FLD-0003","392",2,"Field-TP3",0.000141749908556417,0.510299670803103,2021-04-30
"7","FLD-0004","0",2,"Field-TP3",5.2109958353016e-05,0.187595850070858,2021-04-30
"8","FLD-0004","392",2,"Field-TP3",0.000172337724025992,0.620415806493572,2021-04-30
"9","FLD-0005","0",2,"Field-TP3",5.66615069920099e-05,0.203981425171236,2021-04-30
"10","FLD-0005","392",2,"Field-TP3",0.000181287634919041,0.652635485708548,2021-04-30
"11","FLD-0006","0",2,"Field-TP3",5.7747860838165e-05,0.207892299017394,2021-04-30
"12","FLD-0006","392",2,"Field-TP3",0.000224728777387329,0.809023598594386,2021-04-30
"13","FLD-0007","0",2,"Field-TP3",-3.7256577853131e-06,-0.0134123680271272,2021-04-30
"14","FLD-0007","392",2,"Field-TP3",5.94634752682132e-05,0.214068510965568,2021-04-30
"15","FLD-0008","0",3,"Field-TP4",-5.98454201347067e-05,-0.215443512484944,2021-06-02
"16","FLD-0008","321",3,"Field-TP4",-0.000110060940692829,-0.396219386494186,2021-06-02
"17","FLD-0009","0",3,"Field-TP4",-5.20605239188342e-05,-0.187417886107803,2021-06-02
"18","FLD-0009","321",3,"Field-TP4",-2.59085004188797e-05,-0.0932706015079671,2021-06-02
"19","FLD-0010","0",3,"Field-TP4",-5.25153565590928e-05,-0.189055283612734,2021-06-02
"20","FLD-0010","321",3,"Field-TP4",-3.68177787525111e-05,-0.13254400350904,2021-06-02
"21","FLD-0011","0",3,"Field-TP4",-1.44562595791348e-05,-0.0520425344848853,2021-06-02
"22","FLD-0011","321",3,"Field-TP4",3.61768579812809e-06,0.0130236688732611,2021-06-02
"23","FLD-0012","0",3,"Field-TP4",-6.94463642777277e-05,-0.25000691139982,2021-06-02
"24","FLD-0012","321",3,"Field-TP4",-6.82873343791073e-05,-0.245834403764786,2021-06-02
"25","FLD-0013","0",3,"Field-TP4",-0.00011436171296322,-0.411702166667593,2021-06-02
"26","FLD-0013","321",3,"Field-TP4",-0.000101672376078714,-0.366020553883372,2021-06-02
"27","FLD-0014","0",3,"Field-TP4",-3.76265230055711e-05,-0.135455482820056,2021-06-02
"28","FLD-0014","321",3,"Field-TP4",0.000154265894556212,0.555357220402362,2021-06-02
"29","FLD-0015","0",4,"Field-TP5",-0.000138896777302146,-0.500028398287724,2021-06-25
"30","FLD-0015","319",4,"Field-TP5",-7.67241266513432e-05,-0.276206855944836,2021-06-25
