"Plot Title: 20444034"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444034, SEN S/N: 20444034, LBL: Celcius)","Coupler Detached (LGR S/N: 20444034)","Coupler Attached (LGR S/N: 20444034)","End Of File (LGR S/N: 20444034)"
1,02/06/21 04:00:00 PM,8.195,Logged,,
2,02/06/21 04:10:00 PM,8.394,,,
3,02/06/21 04:20:00 PM,8.170,,,
4,02/06/21 04:30:00 PM,8.394,,,
5,02/06/21 04:40:00 PM,8.170,,,
6,02/06/21 04:50:00 PM,8.344,,,
7,02/06/21 05:00:00 PM,8.245,,,
8,02/06/21 05:10:00 PM,8.270,,,
9,02/06/21 05:20:00 PM,8.369,,,
10,02/06/21 05:30:00 PM,8.195,,,
11,02/06/21 05:40:00 PM,8.394,,,
12,02/06/21 05:50:00 PM,8.145,,,
13,02/06/21 06:00:00 PM,8.394,,,
14,02/06/21 06:10:00 PM,8.145,,,
15,02/06/21 06:20:00 PM,8.344,,,
16,02/06/21 06:30:00 PM,8.270,,,
17,02/06/21 06:40:00 PM,8.245,,,
18,02/06/21 06:50:00 PM,8.369,,,
19,02/06/21 07:00:00 PM,8.145,,,
20,02/06/21 07:10:00 PM,8.369,,,
21,02/06/21 07:20:00 PM,8.145,,,
22,02/06/21 07:30:00 PM,8.369,,,
23,02/06/21 07:40:00 PM,8.220,,,
24,02/06/21 07:50:00 PM,8.295,,,
25,02/06/21 08:00:00 PM,8.319,,,
26,02/06/21 08:10:00 PM,8.245,,,
27,02/06/21 08:20:00 PM,8.394,,,
28,02/06/21 08:30:00 PM,8.145,,,
29,02/06/21 08:40:00 PM,8.419,,,
30,02/06/21 08:50:00 PM,8.145,,,
31,02/06/21 09:00:00 PM,8.369,,,
32,02/06/21 09:10:00 PM,8.195,,,
33,02/06/21 09:20:00 PM,8.344,,,
34,02/06/21 09:30:00 PM,8.245,,,
35,02/06/21 09:40:00 PM,8.295,,,
36,02/06/21 09:50:00 PM,8.344,,,
37,02/06/21 10:00:00 PM,8.220,,,
38,02/06/21 10:10:00 PM,8.394,,,
39,02/06/21 10:20:00 PM,8.170,,,
40,02/06/21 10:30:00 PM,8.419,,,
41,02/06/21 10:40:00 PM,8.170,,,
42,02/06/21 10:50:00 PM,8.394,,,
43,02/06/21 11:00:00 PM,8.170,,,
44,02/06/21 11:10:00 PM,8.394,,,
45,02/06/21 11:20:00 PM,8.170,,,
46,02/06/21 11:30:00 PM,8.419,,,
47,02/06/21 11:40:00 PM,8.195,,,
48,02/06/21 11:50:00 PM,8.419,,,
49,02/07/21 12:00:00 AM,8.195,,,
50,02/07/21 12:10:00 AM,8.419,,,
51,02/07/21 12:20:00 AM,8.245,,,
52,02/07/21 12:30:00 AM,8.419,,,
53,02/07/21 12:40:00 AM,8.295,,,
54,02/07/21 12:50:00 AM,8.394,,,
55,02/07/21 01:00:00 AM,8.319,,,
56,02/07/21 01:10:00 AM,8.369,,,
57,02/07/21 01:20:00 AM,8.319,,,
58,02/07/21 01:30:00 AM,8.319,,,
59,02/07/21 01:40:00 AM,8.295,,,
60,02/07/21 01:50:00 AM,8.344,,,
61,02/07/21 02:00:00 AM,8.319,,,
62,02/07/21 02:10:00 AM,8.295,,,
63,02/07/21 02:20:00 AM,8.344,,,
64,02/07/21 02:30:00 AM,8.245,,,
65,02/07/21 02:40:00 AM,8.344,,,
66,02/07/21 02:50:00 AM,8.245,,,
67,02/07/21 03:00:00 AM,8.319,,,
68,02/07/21 03:10:00 AM,8.319,,,
69,02/07/21 03:20:00 AM,8.295,,,
70,02/07/21 03:30:00 AM,8.344,,,
71,02/07/21 03:40:00 AM,8.295,,,
72,02/07/21 03:50:00 AM,8.369,,,
73,02/07/21 04:00:00 AM,8.270,,,
74,02/07/21 04:10:00 AM,8.369,,,
75,02/07/21 04:20:00 AM,8.245,,,
76,02/07/21 04:30:00 AM,8.394,,,
77,02/07/21 04:40:00 AM,8.270,,,
78,02/07/21 04:50:00 AM,8.394,,,
79,02/07/21 05:00:00 AM,8.245,,,
80,02/07/21 05:10:00 AM,8.394,,,
81,02/07/21 05:20:00 AM,8.195,,,
82,02/07/21 05:30:00 AM,8.419,,,
83,02/07/21 05:40:00 AM,8.170,,,
84,02/07/21 05:50:00 AM,8.394,,,
85,02/07/21 06:00:00 AM,8.145,,,
86,02/07/21 06:10:00 AM,8.394,,,
87,02/07/21 06:20:00 AM,8.170,,,
88,02/07/21 06:30:00 AM,8.394,,,
89,02/07/21 06:40:00 AM,8.195,,,
90,02/07/21 06:50:00 AM,8.319,,,
91,02/07/21 07:00:00 AM,8.270,,,
92,02/07/21 07:10:00 AM,8.270,,,
93,02/07/21 07:20:00 AM,8.369,,,
94,02/07/21 07:30:00 AM,8.220,,,
95,02/07/21 07:40:00 AM,8.394,,,
96,02/07/21 07:50:00 AM,8.145,,,
97,02/07/21 08:00:00 AM,8.394,,,
98,02/07/21 08:10:00 AM,8.170,,,
99,02/07/21 08:20:00 AM,8.344,,,
100,02/07/21 08:30:00 AM,8.245,,,
101,02/07/21 08:40:00 AM,8.295,,,
102,02/07/21 08:50:00 AM,8.344,,,
103,02/07/21 09:00:00 AM,8.220,,,
104,02/07/21 09:10:00 AM,8.394,,,
105,02/07/21 09:20:00 AM,8.145,,,
106,02/07/21 09:30:00 AM,8.369,,,
107,02/07/21 09:40:00 AM,8.195,,,
108,02/07/21 09:50:00 AM,8.295,,,
109,02/07/21 10:00:00 AM,8.319,,,
110,02/07/21 10:10:00 AM,8.220,,,
111,02/07/21 10:20:00 AM,8.369,,,
112,02/07/21 10:30:00 AM,8.145,,,
113,02/07/21 10:40:00 AM,8.344,,,
114,02/07/21 10:50:00 AM,8.245,,,
115,02/07/21 11:00:00 AM,8.270,,,
116,02/07/21 11:10:00 AM,8.369,,,
117,02/07/21 11:20:00 AM,8.195,,,
118,02/07/21 11:30:00 AM,8.394,,,
119,02/07/21 11:40:00 AM,8.145,,,
120,02/07/21 11:50:00 AM,8.295,,,
121,02/07/21 12:00:00 PM,8.295,,,
