"Plot Title: 20444029"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20444029, SEN S/N: 20444029)","Coupler Detached (LGR S/N: 20444029)","Coupler Attached (LGR S/N: 20444029)","End Of File (LGR S/N: 20444029)"
1,02/06/21 04:00:00 PM,9.188,Logged,,
2,02/06/21 04:10:00 PM,9.089,,,
3,02/06/21 04:20:00 PM,8.965,,,
4,02/06/21 04:30:00 PM,8.841,,,
5,02/06/21 04:40:00 PM,8.841,,,
6,02/06/21 04:50:00 PM,8.891,,,
7,02/06/21 05:00:00 PM,8.841,,,
8,02/06/21 05:10:00 PM,8.742,,,
9,02/06/21 05:20:00 PM,8.643,,,
10,02/06/21 05:30:00 PM,8.618,,,
11,02/06/21 05:40:00 PM,8.693,,,
12,02/06/21 05:50:00 PM,8.742,,,
13,02/06/21 06:00:00 PM,8.693,,,
14,02/06/21 06:10:00 PM,8.593,,,
15,02/06/21 06:20:00 PM,8.494,,,
16,02/06/21 06:30:00 PM,8.444,,,
17,02/06/21 06:40:00 PM,8.494,,,
18,02/06/21 06:50:00 PM,8.519,,,
19,02/06/21 07:00:00 PM,8.444,,,
20,02/06/21 07:10:00 PM,8.369,,,
21,02/06/21 07:20:00 PM,8.643,,,
22,02/06/21 07:30:00 PM,8.717,,,
23,02/06/21 07:40:00 PM,8.792,,,
24,02/06/21 07:50:00 PM,8.792,,,
25,02/06/21 08:00:00 PM,8.668,,,
26,02/06/21 08:10:00 PM,8.568,,,
27,02/06/21 08:20:00 PM,8.469,,,
28,02/06/21 08:30:00 PM,8.444,,,
29,02/06/21 08:40:00 PM,8.494,,,
30,02/06/21 08:50:00 PM,8.543,,,
31,02/06/21 09:00:00 PM,8.494,,,
32,02/06/21 09:10:00 PM,8.419,,,
33,02/06/21 09:20:00 PM,8.369,,,
34,02/06/21 09:30:00 PM,8.444,,,
35,02/06/21 09:40:00 PM,8.543,,,
36,02/06/21 09:50:00 PM,8.519,,,
37,02/06/21 10:00:00 PM,8.444,,,
38,02/06/21 10:10:00 PM,8.369,,,
39,02/06/21 10:20:00 PM,8.618,,,
40,02/06/21 10:30:00 PM,8.742,,,
41,02/06/21 10:40:00 PM,8.817,,,
42,02/06/21 10:50:00 PM,8.841,,,
43,02/06/21 11:00:00 PM,8.767,,,
44,02/06/21 11:10:00 PM,8.717,,,
45,02/06/21 11:20:00 PM,8.792,,,
46,02/06/21 11:30:00 PM,8.916,,,
