"Plot Title: 20987156"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20987156, SEN S/N: 20987156)","Coupler Detached (LGR S/N: 20987156)","Coupler Attached (LGR S/N: 20987156)","Host Connected (LGR S/N: 20987156)","End Of File (LGR S/N: 20987156)"
1,02/06/21 04:00:00 PM,9.213,Logged,,,
2,02/06/21 04:10:00 PM,9.213,,,,
3,02/06/21 04:20:00 PM,9.139,,,,
4,02/06/21 04:30:00 PM,8.965,,,,
5,02/06/21 04:40:00 PM,8.693,,,,
6,02/06/21 04:50:00 PM,8.444,,,,
7,02/06/21 05:00:00 PM,8.245,,,,
8,02/06/21 05:10:00 PM,8.095,,,,
9,02/06/21 05:20:00 PM,8.145,,,,
10,02/06/21 05:30:00 PM,8.295,,,,
11,02/06/21 05:40:00 PM,8.419,,,,
12,02/06/21 05:50:00 PM,8.519,,,,
13,02/06/21 06:00:00 PM,8.543,,,,
14,02/06/21 06:10:00 PM,8.519,,,,
15,02/06/21 06:20:00 PM,8.469,,,,
16,02/06/21 06:30:00 PM,8.270,,,,
17,02/06/21 06:40:00 PM,8.070,,,,
18,02/06/21 06:50:00 PM,7.895,,,,
19,02/06/21 07:00:00 PM,7.795,,,,
20,02/06/21 07:10:00 PM,8.145,,,,
21,02/06/21 07:20:00 PM,8.270,,,,
22,02/06/21 07:30:00 PM,8.394,,,,
23,02/06/21 07:40:00 PM,8.444,,,,
24,02/06/21 07:50:00 PM,8.444,,,,
25,02/06/21 08:00:00 PM,8.444,,,,
26,02/06/21 08:10:00 PM,8.419,,,,
27,02/06/21 08:20:00 PM,8.245,,,,
28,02/06/21 08:30:00 PM,8.045,,,,
29,02/06/21 08:40:00 PM,7.920,,,,
30,02/06/21 08:50:00 PM,7.945,,,,
31,02/06/21 09:00:00 PM,8.045,,,,
32,02/06/21 09:10:00 PM,8.170,,,,
33,02/06/21 09:20:00 PM,8.270,,,,
34,02/06/21 09:30:00 PM,8.319,,,,
35,02/06/21 09:40:00 PM,8.344,,,,
36,02/06/21 09:50:00 PM,8.369,,,,
37,02/06/21 10:00:00 PM,8.394,,,,
38,02/06/21 10:10:00 PM,8.295,,,,
39,02/06/21 10:20:00 PM,8.270,,,,
40,02/06/21 10:30:00 PM,8.319,,,,
41,02/06/21 10:40:00 PM,8.369,,,,
42,02/06/21 10:50:00 PM,8.469,,,,
43,02/06/21 11:00:00 PM,8.519,,,,
44,02/06/21 11:10:00 PM,8.568,,,,
45,02/06/21 11:20:00 PM,8.618,,,,
46,02/06/21 11:30:00 PM,8.668,,,,
47,02/06/21 11:40:00 PM,8.742,,,,
48,02/06/21 11:50:00 PM,8.866,,,,
49,02/07/21 12:00:00 AM,8.965,,,,
50,02/07/21 12:10:00 AM,9.064,,,,
51,02/07/21 12:20:00 AM,9.139,,,,
52,02/07/21 12:30:00 AM,9.188,,,,
53,02/07/21 12:40:00 AM,9.188,,,,
54,02/07/21 12:50:00 AM,9.188,,,,
55,02/07/21 01:00:00 AM,9.163,,,,
56,02/07/21 01:10:00 AM,9.238,,,,
57,02/07/21 01:20:00 AM,9.287,,,,
58,02/07/21 01:30:00 AM,9.336,,,,
59,02/07/21 01:40:00 AM,9.386,,,,
60,02/07/21 01:50:00 AM,9.435,,,,
61,02/07/21 02:00:00 AM,9.410,,,,
62,02/07/21 02:10:00 AM,9.361,,,,
63,02/07/21 02:20:00 AM,9.312,,,,
64,02/07/21 02:30:00 AM,9.262,,,,
65,02/07/21 02:40:00 AM,9.238,,,,
66,02/07/21 02:50:00 AM,9.287,,,,
67,02/07/21 03:00:00 AM,9.312,,,,
68,02/07/21 03:10:00 AM,9.336,,,,
69,02/07/21 03:20:00 AM,9.361,,,,
70,02/07/21 03:30:00 AM,9.287,,,,
71,02/07/21 03:40:00 AM,9.238,,,,
72,02/07/21 03:50:00 AM,9.163,,,,
73,02/07/21 04:00:00 AM,9.114,,,,
74,02/07/21 04:10:00 AM,9.114,,,,
75,02/07/21 04:20:00 AM,9.139,,,,
76,02/07/21 04:30:00 AM,9.188,,,,
77,02/07/21 04:40:00 AM,9.213,,,,
78,02/07/21 04:50:00 AM,9.213,,,,
79,02/07/21 05:00:00 AM,9.163,,,,
80,02/07/21 05:10:00 AM,9.114,,,,
81,02/07/21 05:20:00 AM,9.015,,,,
82,02/07/21 05:30:00 AM,8.792,,,,
83,02/07/21 05:40:00 AM,8.742,,,,
84,02/07/21 05:50:00 AM,8.717,,,,
85,02/07/21 06:00:00 AM,8.742,,,,
86,02/07/21 06:10:00 AM,8.792,,,,
87,02/07/21 06:20:00 AM,8.792,,,,
88,02/07/21 06:30:00 AM,8.767,,,,
89,02/07/21 06:40:00 AM,8.767,,,,
90,02/07/21 06:50:00 AM,8.742,,,,
91,02/07/21 07:00:00 AM,8.693,,,,
92,02/07/21 07:10:00 AM,8.717,,,,
93,02/07/21 07:20:00 AM,8.767,,,,
94,02/07/21 07:30:00 AM,8.792,,,,
95,02/07/21 07:40:00 AM,8.742,,,,
96,02/07/21 07:50:00 AM,8.543,,,,
97,02/07/21 08:00:00 AM,8.319,,,,
98,02/07/21 08:10:00 AM,8.170,,,,
99,02/07/21 08:20:00 AM,8.195,,,,
100,02/07/21 08:30:00 AM,8.245,,,,
101,02/07/21 08:40:00 AM,8.295,,,,
102,02/07/21 08:50:00 AM,8.394,,,,
103,02/07/21 09:00:00 AM,8.494,,,,
104,02/07/21 09:10:00 AM,8.568,,,,
105,02/07/21 09:20:00 AM,8.568,,,,
106,02/07/21 09:30:00 AM,8.344,,,,
107,02/07/21 09:40:00 AM,8.145,,,,
108,02/07/21 09:50:00 AM,7.945,,,,
