"Plot Title: 20719658"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 20719658, SEN S/N: 20719658)","Coupler Detached (LGR S/N: 20719658)","Coupler Attached (LGR S/N: 20719658)","Host Connected (LGR S/N: 20719658)","End Of File (LGR S/N: 20719658)"
1,12/21/20 01:00:00 PM,20.793,Logged,,,
2,12/21/20 01:10:00 PM,20.460,,,,
3,12/21/20 01:20:00 PM,20.269,,,,
4,12/21/20 01:30:00 PM,20.222,,,,
5,12/21/20 01:40:00 PM,20.531,,,,
6,12/21/20 01:50:00 PM,9.064,,,,
7,12/21/20 02:00:00 PM,7.720,,,,
8,12/21/20 02:10:00 PM,7.494,,,,
9,12/21/20 02:20:00 PM,7.419,,,,
10,12/21/20 02:30:00 PM,7.343,,,,
11,12/21/20 02:40:00 PM,7.268,,,,
12,12/21/20 02:50:00 PM,7.242,,,,
13,12/21/20 03:00:00 PM,7.167,,,,
14,12/21/20 03:10:00 PM,7.142,,,,
15,12/21/20 03:20:00 PM,7.091,,,,
16,12/21/20 03:30:00 PM,7.066,,,,
17,12/21/20 03:40:00 PM,7.041,,,,
18,12/21/20 03:50:00 PM,7.015,,,,
19,12/21/20 04:00:00 PM,6.990,,,,
20,12/21/20 04:10:00 PM,6.965,,,,
21,12/21/20 04:20:00 PM,6.965,,,,
22,12/21/20 04:30:00 PM,6.940,,,,
23,12/21/20 04:40:00 PM,6.940,,,,
24,12/21/20 04:50:00 PM,6.940,,,,
25,12/21/20 05:00:00 PM,6.940,,,,
26,12/21/20 05:10:00 PM,6.940,,,,
27,12/21/20 05:20:00 PM,6.940,,,,
28,12/21/20 05:30:00 PM,6.940,,,,
29,12/21/20 05:40:00 PM,6.940,,,,
30,12/21/20 05:50:00 PM,6.940,,,,
31,12/21/20 06:00:00 PM,6.965,,,,
32,12/21/20 06:10:00 PM,6.990,,,,
33,12/21/20 06:20:00 PM,6.990,,,,
34,12/21/20 06:30:00 PM,6.990,,,,
35,12/21/20 06:40:00 PM,7.015,,,,
36,12/21/20 06:50:00 PM,7.015,,,,
37,12/21/20 07:00:00 PM,7.041,,,,
38,12/21/20 07:10:00 PM,7.041,,,,
39,12/21/20 07:20:00 PM,7.066,,,,
40,12/21/20 07:30:00 PM,7.091,,,,
41,12/21/20 07:40:00 PM,7.116,,,,
42,12/21/20 07:50:00 PM,7.116,,,,
43,12/21/20 08:00:00 PM,7.142,,,,
44,12/21/20 08:10:00 PM,7.142,,,,
45,12/21/20 08:20:00 PM,7.192,,,,
