Date,Time,Channel,User,SensorID,Sensor_Name,delta_t,Time_Unit,Value,O2_Unit,Mode,Phase,Phase_Unit,Amplitude,Amplitude_Unit,Temp,Temp_Unit,Pressure,Pressure_Unit,Salinity,Salinity_Unit,Error,Cal0,Cal0_Unit,T0,T0_Unit,O2Cal2nd,O2_Unit,Cal2nd,Cal2nd_Unit,T2nd,T2nd_Unit,CalPressure,CalPressure_Unit,f1,dPhi1,dkSv1,dPhi2,dkSv2,m,Cal_Mode,SignalLEDCurrent,User_Signal_Intensity,ReferenceLEDCurrent,Reference_Amplitude,Device_Serial,FwVersion,SwVersion,Sensor_Type,BatchID,Calibration_Date,Sensor_Lot,PreSens_Calibr,Battery_Voltage,Battery_Voltage_Unit
2/4/21,7:21:29,2,default,314255199,OXY-CH2,0,min,297.514,µmol/L,Humid,23.526,deg,74652,µV,5.912,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378542.77,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:30,2,default,314255199,OXY-CH2,0.017,min,297.519,µmol/L,Humid,23.53,deg,74635,µV,5.902,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378508.81,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:31,2,default,314255199,OXY-CH2,0.033,min,297.246,µmol/L,Humid,23.535,deg,74625,µV,5.916,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378478.38,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:32,2,default,314255199,OXY-CH2,0.05,min,297.393,µmol/L,Humid,23.534,deg,74620,µV,5.905,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378454.57,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:33,2,default,314255199,OXY-CH2,0.067,min,297.403,µmol/L,Humid,23.534,deg,74616,µV,5.904,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378449.55,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:34,2,default,314255199,OXY-CH2,0.084,min,297.503,µmol/L,Humid,23.531,deg,74611,µV,5.901,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378425.84,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:35,2,default,314255199,OXY-CH2,0.101,min,297.372,µmol/L,Humid,23.532,deg,74611,µV,5.911,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378426.63,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:36,2,default,314255199,OXY-CH2,0.117,min,297.338,µmol/L,Humid,23.533,deg,74609,µV,5.913,°C,1009,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378411.57,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:37,2,default,314255199,OXY-CH2,0.133,min,297.277,µmol/L,Humid,23.538,deg,74605,µV,5.906,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378395.64,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
2/4/21,7:21:38,2,default,314255199,OXY-CH2,0.15,min,297.17,µmol/L,Humid,23.538,deg,74610,µV,5.917,°C,1008,hPa,35.3,pmil,0,55.5,deg,20,°C,100,%a.s.,21.82,deg,20,°C,977,hPa,0.861,-0.02617,0.00035,0,0,13.56,Humid,28,0,54,378390.03,SABD0000000001,AAV1.0.0.11,1.1.2.0,PSt7-10,000000-000,12/19/20 11:14,0000-00,0,no battery,V
