"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"::chromosome_9:28906657-28910805",64.1286812124252,1.300136008454,0.31932605695074,4.07149989847075,4.67113827130186e-05,0.00303774708220348,107,297,48,9,94,91,200,25,139,84,107,200,102,80,11,88,52,15,10
"::chromosome_8:25462523-25469320",101.300955263148,-1.47009232313972,0.442919784791999,-3.31909382605271,0.000903100797549023,0.0239618299438552,125,152,115,10,24,192,117,127,238,191,156,33,260,251,28,174,98,33,30
"::chromosome_11:8075100-8075571",46.0845984437764,-2.1114378272943,0.584147990689559,-3.61455977072154,0.000300858403681397,0.0115017005613393,145,29,49,6,7,46,22,24,98,73,39,58,119,104,37,47,48,3,28
"::chromosome_13:36575659-36579458",281.974418447265,-3.30415432472546,0.716873707786754,-4.60911634620632,4.04384002665156e-06,0.00049007489846801,551,224,337,28,24,265,192,42,517,252,280,11,768,1476,58,1151,873,32,117
"::chromosome_12:8587015-8599512",368.13290436739,-2.68475522377449,0.793245409611497,-3.38452034041947,0.000713027357399689,0.0209598652444051,322,422,145,96,39,172,348,30,947,84,92,186,198,2248,449,1002,294,46,175
"::chromosome_4:1332270-1333064",13.8952384824666,-3.2081136590495,0.705250724516199,-4.54889806919413,5.39275545493591e-06,0.000611923174711358,52,8,11,0,0,29,5,18,22,27,10,6,67,17,5,29,35,6,3
"::chromosome_5:4211039-4271755",431.290430138534,1.52547527602197,0.49656614515692,3.07204848920963,0.00212595187403522,0.0432700104641205,422,2386,892,62,808,400,977,270,404,374,394,1685,437,451,112,245,467,126,39
"::chromosome_13:41796902-41800740",167.776570905953,1.42165338120114,0.290562008728967,4.89277103851263,9.94260513306695e-07,0.000173654422005478,213,706,148,20,161,300,609,72,306,408,242,844,162,184,38,191,208,28,22
"::chromosome_11:21669026-21675967",128.029452495652,-3.93240667119664,0.711834262057277,-5.52432901983611,3.30747147402993e-08,1.28092618064877e-05,166,21,238,20,10,164,5,112,86,248,86,48,85,444,90,123,231,71,49
"::chromosome_2:1257505-1260075",61.4861973464054,-2.93665978921519,0.70176492445107,-4.18467735689738,2.85571413784333e-05,0.00218345696848408,55,13,237,13,9,103,47,15,100,133,81,10,70,84,60,46,129,12,11
"::chromosome_12:4077993-4083806",519.065785461884,1.03232672250222,0.302131240065722,3.41681556093855,0.000633581880546222,0.0193379846680019,570,2201,676,35,487,1144,1538,322,882,1232,530,1728,567,570,145,879,654,181,54
"::chromosome_14:32849298-32859163",413.922901568409,-2.0692591982593,0.493243782097849,-4.19520584620124,2.72623883982479e-05,0.00210250843859215,1371,682,512,55,15,603,390,181,866,971,269,202,864,1017,238,975,820,73,133
"::chromosome_9:7611582-7625697",119.292293380283,-2.05514708075751,0.60936219468788,-3.37261992731626,0.000744566532276124,0.0213942786653212,200,327,28,19,28,101,114,25,279,183,95,136,191,216,279,143,199,20,5
"::chromosome_9:3244247-3244619",11.2896531766095,-2.32556176917278,0.68110773301715,-3.41438168506923,0.000639269515868506,0.0194064212164428,10,15,19,1,2,35,8,2,23,18,32,8,32,56,3,31,29,1,0
"::chromosome_9:1958969-1961453",14.4381261740731,2.29036735838395,0.749480923784639,3.05593816426751,0.00224357520968989,0.0450612089747749,30,80,4,0,23,53,21,4,28,25,30,112,8,7,4,21,12,0,2
"::chromosome_14:42722777-42725930",276.808595331874,1.73535698815847,0.563549491814845,3.07933378232666,0.00207464101903374,0.042876716652072,114,1547,797,6,153,503,717,347,227,1009,342,1165,376,124,56,342,106,36,19
"::chromosome_10:24885459-24914013",182.101527082459,-1.16070265650188,0.363194016560422,-3.19581987471641,0.00139434129468603,0.0326844607431995,482,223,232,16,39,257,220,77,525,674,236,165,249,262,43,475,459,80,29
"::chromosome_11:23936761-23937574",14.1744065674687,2.86051706931408,0.70272594812011,4.07060117385215,4.6891970115406e-05,0.00303774708220348,20,81,5,1,17,21,105,0,10,27,24,114,9,13,1,32,8,0,1
"::chromosome_9:22900033-22908799",221.840984106219,-1.69122000377185,0.533037880960512,-3.17279515055167,0.00150979010573934,0.0342199882108733,498,162,630,48,40,458,215,74,361,648,149,77,243,283,93,290,389,118,31
"::chromosome_6:1012135-1018508",2243.04404163115,-4.41376289663314,0.854985753879016,-5.16238180181153,2.43827333700186e-07,5.95257389743892e-05,3815,155,7685,564,118,3712,438,115,183,12453,2000,330,9235,967,1868,5125,2812,344,48
"::chromosome_3:13138140-13140820",720.656555271361,1.14228770705148,0.370557470798261,3.08261955855523,0.00205187288237429,0.0426299903914907,583,4280,625,64,1140,1526,2315,186,904,1837,932,1964,1265,443,283,921,904,144,112
"::chromosome_14:13110449-13128005",157.84470331126,-1.43471993267355,0.462370101875487,-3.10296865401542,0.0019158993200899,0.0405847162751505,571,200,101,13,17,234,125,30,785,281,171,137,299,232,82,318,115,29,93
"::chromosome_12:34004639-34015128",135.613371107095,1.22953339076568,0.403341119634577,3.04837104602581,0.00230085639485041,0.0459114114976514,261,944,48,11,183,276,425,39,217,243,174,560,288,177,24,217,181,7,20
"::chromosome_5:8288513-8294763",71.0544033774346,-2.52383266099182,0.73868245565391,-3.41666793582856,0.000633925514797256,0.0193379846680019,52,33,40,36,11,56,72,30,164,45,20,61,165,226,74,49,148,26,2
"::chromosome_11:1401001-1412968",126.683743674811,-1.61621594756256,0.477648617401143,-3.38369229739697,0.000715181055195251,0.0209598652444051,220,174,317,4,31,159,94,157,193,249,101,139,323,353,48,100,219,41,32
"::chromosome_7:1828756-1831485",33.4164078753841,-1.37372948404786,0.385183810775187,-3.56642580923433,0.000361883198451681,0.0132882564643002,82,47,19,3,7,57,45,30,109,94,47,35,94,65,16,50,59,9,5
"::chromosome_13:24111414-24115620",436.021824116206,2.01252516999823,0.556253294140015,3.61800135154194,0.000296886846539245,0.0113987913170186,426,3270,155,112,762,322,1276,40,257,1254,226,983,820,200,46,892,182,207,69
"::chromosome_9:6370042-6383165",60.4862752113962,-2.12220707712999,0.667696413739901,-3.17840119170789,0.0014808968343486,0.0338849732109444,95,82,77,0,12,107,40,31,273,344,48,36,81,142,13,63,292,18,6
"::chromosome_9:25945159-25945447",334.459525994755,-2.16937177281707,0.367358533199732,-5.90532566079687,3.51950804524819e-09,2.87896316952228e-06,1053,263,245,13,40,608,274,115,1020,965,506,299,882,801,188,633,682,85,94
"::chromosome_7:18209666-18222226",46.8599522188113,-2.92222904255041,0.706025745674718,-4.13898368501811,3.48847754248769e-05,0.00245641215096515,91,18,89,12,6,85,27,47,103,22,101,8,50,20,46,29,114,13,6
"::chromosome_7:25678209-25679275",17.9026699571667,-6.49143673614174,1.22038074840755,-5.31918972387287,1.04230401720094e-07,3.0947743444058e-05,19,2,3,2,0,2,0,3,6,5,5,4,1,273,8,5,117,5,2
"::chromosome_14:46948833-46949897",219.338048046891,4.47099346272769,1.43741379101473,3.110442859722,0.00186807034697632,0.0398558960854887,8,8694,109,12,94,13,194,33,16,541,67,73,13,13,41,13,26,2,53
"::chromosome_4:3914252-3918074",38.916727660749,-1.60671400817737,0.517516167101835,-3.10466437633283,0.00190495046079521,0.0404008243560317,54,109,52,1,18,76,17,17,119,80,36,24,81,144,18,114,102,8,6
"::chromosome_1:1947640-1951475",10.8810044014499,-5.05027127562585,0.901878424457789,-5.59972512776551,2.14691953029323e-08,9.80006698892951e-06,23,3,5,3,0,4,2,8,23,12,4,1,50,35,7,31,45,0,2
"::chromosome_7:8442789-8470764",163.592980124779,-2.33822066654535,0.644592027006114,-3.62744273677337,0.000286242231203917,0.0111584362120301,164,132,94,18,36,163,116,33,181,1067,168,106,1233,255,24,163,222,90,36
"::chromosome_12:9383443-9388858",35.8373890168606,-1.52893705202208,0.376999277362718,-4.05554372071398,5.00178151783209e-05,0.00317535428561745,103,36,30,7,6,62,44,21,89,90,54,29,89,56,13,110,73,10,2
"::chromosome_13:7211122-7222986",123.798088377302,-1.95467266274977,0.461942843791717,-4.23141669801709,2.32223999111212e-05,0.001915310437114,309,236,67,13,12,202,201,18,268,257,128,100,652,378,64,331,298,22,13
"::chromosome_10:9459631-9467095",46.6713085148189,3.61694224273086,0.873606926623128,4.14023988650356,3.46942815823332e-05,0.00245641215096515,7,466,106,12,23,62,50,9,23,53,219,208,8,5,4,15,14,8,4
"::chromosome_14:20450011-20451669",14.2776012262582,6.60124740567181,2.04257654563306,3.2318237570019,0.00123002895302776,0.0299766973983442,0,3,1,0,32,29,0,1,2,9,0,116,0,0,1,179,0,7,2
"::chromosome_9:30672621-30679483",148.831133840081,-1.93348549076612,0.449138810747168,-4.30487289118848,1.6708164015898e-05,0.00146628542829174,622,151,196,27,19,100,57,17,419,457,139,55,230,243,39,510,198,58,46
"::chromosome_11:12205484-12218884",678.233357761237,-1.67268636987024,0.444865728989637,-3.75998028364465,0.000169926748888745,0.00776216674731537,2085,201,461,77,232,809,596,709,2122,2253,650,500,858,1164,295,928,1457,251,162
"::chromosome_5:19053313-19064456",70.161104823313,1.0657094600785,0.339215797033666,3.14168582182137,0.00167978178817916,0.0371281793503867,72,263,104,2,66,178,201,89,85,84,114,279,94,48,20,89,102,11,9
"::chromosome_11:7969687-7972375",10.5201296507827,-2.56571270693743,0.6425777441684,-3.99284402583516,6.52855143703138e-05,0.00390289073324544,31,10,21,0,0,27,8,8,30,15,17,3,15,22,9,16,25,2,2
"::chromosome_6:1711248-1711596",19.9436335531711,-2.06785633192937,0.514915522907788,-4.01591375659437,5.92159092155829e-05,0.00362519389235604,65,12,4,3,3,27,10,6,75,38,19,8,31,35,2,35,36,14,10
"::chromosome_14:57444915-57446205",21.0521705499488,-2.24624346577239,0.673207657146737,-3.33662792145394,0.000848013934050294,0.0232915513166353,32,18,25,7,0,29,10,7,56,27,16,29,24,70,11,28,64,3,6
"::chromosome_13:27180113-27215377",2254.86156537923,-1.54132313879215,0.398228821522202,-3.87044597349972,0.000108636431704412,0.00559352032027198,9588,2479,2297,259,460,4679,1628,907,3406,2979,2979,3966,6129,5881,794,5211,5077,542,399
"::chromosome_8:18367194-18367401",24.3555772593495,-5.60183756055805,1.65615853797798,-3.38242833164836,0.000718480223056862,0.0209831560225541,190,1,20,0,1,146,0,2,100,76,39,0,81,15,0,0,2,23,0
"::chromosome_5:23451781-23499727",711.050897048706,1.51967281638932,0.417703480558945,3.63816172744309,0.000274590983346904,0.0107987601949781,1429,3408,1840,44,368,1425,2914,282,1356,1407,1210,1951,492,765,161,588,352,157,111
"::chromosome_5:18235241-18242029",175.65609737111,-1.2562106153998,0.271079257365275,-4.63410822210965,3.5847943431366e-06,0.000443493827937351,753,292,128,19,52,190,147,60,493,427,152,87,282,255,63,384,310,88,58
"::chromosome_11:12335892-12359129",317.613192606913,0.849684880351738,0.258446359840018,3.28766433730274,0.00101022208897569,0.0258717207928616,435,1233,290,25,341,541,1522,189,558,382,477,840,558,397,109,393,444,90,29
"::chromosome_4:24208418-24211540",50.5068952977367,-3.19191341759393,0.638662893133002,-4.99780627920278,5.79861938202479e-07,0.000121532240342084,95,14,130,7,0,37,25,54,206,141,62,5,60,88,13,81,102,16,10
"::chromosome_3:21255724-21256927",106.363310252099,-1.22201999233514,0.356232669846691,-3.43039843274635,0.000602695557109072,0.018800235290535,131,129,193,21,40,202,85,45,171,522,94,129,224,156,39,219,232,19,16
"::chromosome_4:7584204-7590006",159.304937499119,1.46524353621358,0.433038265191744,3.38363524425443,0.00071532966986238,0.0209598652444051,394,1224,92,6,181,291,502,55,394,236,168,784,164,247,39,295,189,9,13
"::chromosome_4:25994708-26008271",234.687031126322,1.42867000271548,0.460939574397555,3.09947351468518,0.00193864909943307,0.041017854758195,170,678,271,34,356,309,791,292,325,357,269,751,176,211,53,216,274,84,20
"::chromosome_4:21051895-21057217",78.273306588748,0.929889790177652,0.283909252261013,3.27530639728061,0.00105547430979801,0.026680492691946,114,370,75,8,109,150,267,32,94,195,97,197,156,93,17,95,107,19,10
"::chromosome_12:29591811-29600183",150.42773484994,2.46336711557465,0.814650105915708,3.02383452440076,0.00249592916770395,0.0483840893608769,85,3112,19,8,140,37,403,20,61,1601,49,137,193,62,30,32,77,9,5
"::chromosome_4:27208925-27220695",209.335587216659,1.07483510878872,0.34130288104523,3.14921194188889,0.00163711417204501,0.0364780569320249,224,844,284,18,189,429,765,228,307,319,260,543,313,191,43,236,242,80,18
"::chromosome_10:21141335-21145171",6.3814878849716,2.51899982084895,0.790573228019786,3.18629537602544,0.00144107387347859,0.033420089106095,7,28,13,0,7,17,32,4,10,3,3,43,2,6,1,6,4,3,0
"::chromosome_1:8165805-8170948",19.1090341661757,-3.10977875501929,0.925935655570675,-3.35852576397726,0.000783594162967714,0.0221583016083648,10,11,22,1,10,7,18,10,9,15,11,3,5,65,9,5,249,3,4
"::chromosome_12:19350158-19358004",151.73354611513,-1.0874640659201,0.342238720979313,-3.17750154865099,0.00148549896591342,0.0338849732109444,386,187,115,35,63,235,109,64,324,209,149,121,245,277,46,304,191,67,65
"::chromosome_11:2185541-2187876",280.815019696866,-2.33879067100166,0.640932072583369,-3.64904608623317,0.000263215885214317,0.0105375078541417,872,62,624,35,50,375,219,164,361,474,167,275,111,1022,100,457,1111,94,49
"::chromosome_12:36662919-36687272",969.499089810969,0.726003253674579,0.230667632088116,3.14739977647684,0.00164729567608419,0.0365917362461844,1553,4789,861,58,1148,2065,2941,432,1740,1935,1392,2572,1325,1851,346,1547,1175,150,138
"::chromosome_3:9487304-9506844",114.170089841185,1.17731327919683,0.25753415873206,4.5714839732065,4.84282334620228e-06,0.000560226609822036,149,400,106,11,143,235,405,77,173,152,169,513,175,173,22,128,121,22,14
"::chromosome_4:3658271-3659690",123.861422664086,-2.40670464453107,0.538085573428397,-4.47271728397553,7.72318577718776e-06,0.000818979491789285,185,93,265,11,8,108,89,91,358,135,178,53,245,296,20,331,356,38,41
"::chromosome_11:1257093-1257819",146050.398008568,-0.72597889374823,0.20047900184882,-3.62122160951144,0.000293215211816732,0.0113557152141632,322606,259098,181165,19245,71987,223656,222613,90176,306795,306188,183648,212629,276123,295582,58933,217020,260729,51596,26113
"::chromosome_4:25664765-25677352",250.809093701683,1.10230638397415,0.353036982797755,3.12235385437121,0.00179411156347764,0.0391219882533718,443,1399,230,34,386,510,485,260,358,568,237,502,281,296,56,280,315,49,25
"::chromosome_6:3657920-3676440",60.8576173100987,-3.54187749288883,0.806854208897567,-4.38973665109614,1.13488014199643e-05,0.00109285890430629,106,30,26,7,13,43,40,24,14,73,101,12,180,76,165,82,21,12,13
"::chromosome_11:26434943-26436107",109.620546831185,-1.97299264572018,0.561008724905861,-3.51686624134279,0.000436673774033929,0.0150925268803233,192,95,91,11,19,220,75,8,97,273,107,89,349,216,29,432,226,38,55
"::chromosome_1:8537029-8546629",34.0851666669227,-2.59418240236317,0.843981281942002,-3.07374400104462,0.00211390742450704,0.0432327401086897,22,23,56,10,3,19,9,128,21,26,35,16,54,107,4,42,64,1,0
"::chromosome_12:3672124-3674874",95.8469913367772,-2.08162208665907,0.613719007625661,-3.39181622337622,0.000694309926441506,0.0205809173703085,163,55,103,45,33,145,40,53,141,61,64,71,213,296,37,74,151,28,24
"::chromosome_8:9688361-9689665",35.222917801297,-1.93480310483833,0.570730471228265,-3.39004697028785,0.000698806493465049,0.0206455019586731,144,70,36,5,8,24,21,6,113,188,20,19,88,61,24,63,95,3,3
"::chromosome_13:22485150-22496775",125.1124355949,1.64034190057249,0.308701902770737,5.31367602807011,1.07435554061064e-07,3.13764655016043e-05,161,878,136,8,178,228,747,41,197,169,115,514,178,125,42,117,136,10,6
"::chromosome_3:12099479-12100379",22.4073230531093,-2.12040949256261,0.523034516925283,-4.05405269431867,5.03378696235166e-05,0.00318003243738634,81,18,25,2,7,31,17,12,49,105,45,9,49,52,7,47,61,4,1
"::chromosome_9:4288371-4310108",466.139136833887,1.09764191970468,0.325913736618411,3.36789093670461,0.00075745553593665,0.0216598240332447,710,1417,446,41,553,584,1209,244,1753,1444,563,1564,482,498,107,684,550,95,70
"::chromosome_8:23933238-23937555",161.840601190953,-1.96154354177643,0.636303795666109,-3.08271544997308,0.0020512118776771,0.0426299903914907,315,268,218,21,5,157,90,80,624,558,100,49,73,490,62,164,216,85,62
"::chromosome_13:19489652-19534304",1891.1987083759,-1.36335191420878,0.310141898603096,-4.39589723397396,1.10316119825122e-05,0.00107982509598052,4947,4543,1149,206,872,2614,2261,1197,2932,3113,1819,1598,7167,5816,870,4965,3201,444,300
"::chromosome_4:6587612-6617230",535.292825797695,1.12442037513818,0.31912001274607,3.5235031656661,0.000425882009365079,0.0148559968114526,969,2830,424,41,664,1003,1994,100,1012,635,543,2282,877,849,112,909,799,66,95
"::chromosome_14:54736363-54751700",94.6445430457538,-2.11238222526623,0.68306840188585,-3.09249003384473,0.00198484898302572,0.0417474434859542,179,50,21,39,52,222,47,62,186,93,30,41,331,226,62,184,109,34,4
"::chromosome_5:15673067-15686369",89.1258226554032,1.03952647453128,0.304456425602893,3.41436864888887,0.000639300107106626,0.0194064212164428,187,316,106,7,100,157,255,92,130,192,93,219,104,77,18,165,118,18,16
"::chromosome_8:9296997-9305911",233.010252944624,-2.08487671259088,0.572481939680418,-3.64182093456911,0.000270716358644005,0.0107173598427621,314,293,394,49,57,125,96,148,656,405,285,141,479,1041,22,400,448,60,60
"::chromosome_2:1284924-1285488",30.8957661657912,-1.82373995930631,0.48455130360812,-3.76377061773681,0.000167370419206207,0.00769185813655865,92,34,14,0,6,61,18,17,71,65,26,30,65,47,25,60,46,13,15
"::chromosome_12:2911313-2911739",18.3900756336578,-1.6427718273459,0.536155876553419,-3.06398176199458,0.00218412224765912,0.0442160657295991,22,27,11,3,7,23,8,9,55,58,36,10,33,43,10,46,22,9,2
"::chromosome_14:46270820-46282573",52.2123039446131,-1.34208906415715,0.403660069969828,-3.32480015736376,0.000884819328095129,0.023767764557421,72,115,104,6,14,121,92,19,81,115,53,59,114,198,26,67,129,10,4
"::chromosome_5:26234143-26234677",92.3290566787956,-2.71326341873955,0.498988405199779,-5.43752798755564,5.40248662075843e-08,1.88716272840807e-05,344,38,96,6,4,71,29,21,341,379,68,41,112,128,39,405,174,57,11
"::chromosome_4:22291232-22292219",304.026449047068,2.73663574653433,0.68350512678226,4.00382621768705,6.23261562204242e-05,0.00375115024684749,194,4073,86,27,298,455,1954,27,140,945,183,1814,34,401,75,167,113,53,7
"::chromosome_13:21690334-21692468",248.571404238248,-2.88855420330536,0.737435764754739,-3.91702483302536,8.96485170843143e-05,0.0049445459190621,524,19,885,29,10,267,73,131,1135,1021,70,33,65,199,47,999,378,117,18
"::chromosome_9:248379-256004",98.3729559929761,0.981566687511608,0.321168003082858,3.05624059087348,0.00224131330744528,0.0450612089747749,142,416,48,7,163,184,247,57,172,168,107,341,197,133,19,128,130,34,13
"::chromosome_5:17914961-17924304",288.481504946716,1.15408470269415,0.277086025719144,4.16507725244845,3.11247155061447e-05,0.00230077513170941,481,1166,233,20,474,425,870,101,508,495,216,1368,628,427,66,452,275,48,50
"::chromosome_8:5805089-5817740",676.516279351468,0.856313062958664,0.239134221647686,3.58088882912066,0.000342427339843105,0.0127889791599684,1160,2547,899,37,809,1267,2032,278,1355,1269,753,2289,956,1019,164,858,1028,157,116
"::chromosome_9:2487949-2490795",883.910401347436,-0.682055414338137,0.202790523609598,-3.36334954019447,0.000770027981666621,0.021909771704549,1757,2090,966,65,399,1789,1293,608,1798,2058,1215,1241,1635,1798,384,1647,1501,206,224
"::chromosome_13:39767203-39769112",26.5493626519668,-2.54640764704853,0.819694525262794,-3.10653245638325,0.00189295527226083,0.0402161718004444,40,3,27,2,5,52,3,3,139,39,86,14,26,76,5,52,22,25,2
"::chromosome_1:10046836-10048210",53.9956698052758,-4.16994241286439,0.478842607587956,-8.70837796550599,3.08253962276942e-18,2.74577216898186e-14,146,11,44,12,3,73,8,10,199,80,42,14,211,175,23,113,79,12,19
"::chromosome_12:1774836-1808890",617.426045829402,1.35564740751941,0.218173836062648,6.21361127431494,5.17805332870938e-10,5.42629529711516e-07,1046,3945,509,56,930,1145,2026,166,836,952,735,2340,873,741,166,929,738,101,81
"::chromosome_9:23832304-23837944",99.0353786753933,-1.96933826584589,0.423673676436149,-4.64824315357881,3.34774141198004e-06,0.000419871183061925,261,75,51,20,22,64,60,9,181,275,94,91,238,276,30,224,195,38,44
"::chromosome_11:2339476-2347062",153.979523001538,1.47587327438982,0.427932256811168,3.44884792136871,0.000562983677223931,0.0181694822640296,198,1648,228,13,120,185,566,36,264,301,116,360,229,151,37,195,163,35,24
"::chromosome_14:46385269-46388943",38.6649781299108,-2.76368436651279,0.90809415244205,-3.0433896739459,0.00233929200094181,0.0462535926712301,44,16,100,19,11,44,11,7,37,67,12,15,24,16,8,42,271,12,3
"::chromosome_11:22917893-22931838",1575.41993847885,-1.0850454732052,0.202688706294997,-5.35326063814331,8.63832813973654e-08,2.6533071691277e-05,3820,2711,1219,141,889,2388,1998,787,3157,4247,1937,1971,4468,3468,758,2841,3146,339,381
"::chromosome_5:1022769-1025928",73.6916005597491,-1.96717902834519,0.531566448079181,-3.7007208326515,0.000214987891952823,0.00909740925211293,182,73,45,1,8,198,48,17,222,112,126,89,195,231,24,233,148,19,25
"::chromosome_8:11978259-11980703",40.2588627902914,-4.69990929305093,1.26458405954088,-3.71656534620346,0.000201949426850629,0.00879640351917838,6,1,55,23,1,265,0,1,24,31,29,14,19,2,72,90,30,3,1
"::chromosome_9:12130362-12132795",23.6712449203188,-4.92389053185392,1.52580060982745,-3.22708648832613,0.0012505765354367,0.0302293364705628,24,9,14,0,0,56,0,10,0,15,9,3,8,2,0,12,224,9,29
"::chromosome_5:21181660-21187042",607.982565507638,2.94609090731596,0.71422187830993,4.12489591370027,3.70902456067845e-05,0.00260142805309002,186,9696,807,19,849,529,3132,484,393,466,380,2461,15,728,66,501,453,24,67
"::chromosome_1:15106480-15112325",163.287997747592,-2.20100685634921,0.489887202823955,-4.49288498181113,7.02647386184893e-06,0.000767954796618643,836,208,182,47,16,163,57,32,243,382,126,49,393,229,59,290,245,71,42
"::chromosome_1:1421737-1424739",6.51090912522711,-3.65179302244343,1.10149645098885,-3.31530166907491,0.000915442752784363,0.0241967546600199,17,2,16,2,1,8,2,2,19,6,1,2,11,44,0,12,20,1,0
"::chromosome_13:24026769-24027015",152.420341350918,-1.80821465012178,0.571773405858751,-3.16246721444837,0.00156438349987229,0.0352778380382594,268,149,282,18,23,121,23,81,340,178,237,124,206,320,29,108,244,120,69
"::chromosome_13:25990161-25990788",28.3152998861937,-1.71828634977385,0.548547038391017,-3.13243209700644,0.00173364523960234,0.0380355787481719,81,60,15,0,1,50,37,12,31,59,42,31,68,87,18,48,77,11,8
"::chromosome_13:3837445-3840913",69.6737289383719,-2.13433087881372,0.68372088825854,-3.12164059262535,0.00179846351321009,0.0391682487626378,410,42,64,2,8,121,97,7,193,314,97,13,101,141,32,221,180,13,6
"::chromosome_12:8215195-8217759",66.0923992927649,-2.97256034246035,0.590448275330925,-5.03441277865422,4.79315851500372e-07,0.000104134291396087,242,19,155,12,5,186,5,59,266,91,48,14,52,53,33,38,47,17,26
"::chromosome_12:33462051-33473713",17.0459143376847,3.37807025669158,1.01958696002157,3.31317522599556,0.000922431688118418,0.0243453637390068,5,381,5,0,89,9,9,4,5,8,7,6,8,22,2,28,2,1,0
"::chromosome_2:21158740-21160263",326.313419462891,3.43014018561665,0.711298347005201,4.82236490504817,1.41866110074509e-06,0.000230027908521184,131,1317,418,5,2470,200,766,55,130,273,288,719,68,90,78,218,183,10,10
"::chromosome_1:906323-908755",80.7426642139114,2.63734366627444,0.828922442235645,3.18165310998384,0.00146437097045313,0.0337924466821535,197,323,30,18,12,268,154,45,115,106,73,738,98,17,5,11,22,36,10
"::chromosome_14:6527690-6530393",138.598810799715,-1.0972132241982,0.33549981694376,-3.27038397276422,0.00107401591478824,0.0270630742884759,323,134,181,15,32,307,172,94,245,243,152,167,267,249,41,208,214,83,36
"::chromosome_12:19872930-19887172",63.3214592914965,22.387201730096,4.56322358502958,4.90600587784938,9.29497403102474e-07,0.000163950457784857,0,0,0,69,93,0,0,93,0,0,0,0,0,0,0,0,0,28,26
"::chromosome_6:24443078-24444460",403.210131354714,-1.89017318232637,0.528867087563362,-3.57400418134341,0.000351563310587285,0.013053278152683,1048,361,599,58,105,230,400,407,316,545,372,527,1039,1719,98,863,1234,64,60
"::chromosome_9:3989523-3992939",20.2912125529725,3.04064936896507,0.876689005873495,3.46833295341203,0.000523698000062322,0.0172771849465005,24,81,20,0,4,22,227,4,22,38,17,235,11,4,1,15,30,1,0
"::chromosome_9:29256229-29271787",1934.72310206375,0.933530469317254,0.276295457442628,3.37873983871449,0.000728188835914596,0.02109379530377,3363,9960,1371,112,2123,3059,7494,548,3574,3063,2486,7421,4312,3619,436,3042,2137,320,301
"::chromosome_13:2982362-3004195",128.312229484949,-2.80086120628385,0.835912907576877,-3.35066151138031,0.000806187806661463,0.022592802459267,224,92,110,40,46,141,57,32,100,76,75,73,63,170,295,48,212,67,7
"::chromosome_5:16111638-16136743",397.720217929608,0.852199952630512,0.17168605807665,4.96371086958059,6.91588764134651e-07,0.000133920150359335,694,1488,443,34,500,880,1216,232,809,628,449,999,558,515,111,655,515,96,54
"::chromosome_14:878453-879107",75.6141761125077,3.56030177760646,0.716277367096162,4.97056299857717,6.67587649770292e-07,0.000132145266451753,11,707,34,1,226,157,425,25,31,65,207,443,41,1,12,14,45,1,3
"::chromosome_14:45694707-45713672",245.514984206249,1.03371314268879,0.267273793245916,3.86761878197944,0.000109903298335155,0.00564244167101093,527,1249,134,14,295,383,1089,77,403,418,232,866,454,382,79,479,271,29,43
"::chromosome_5:15846939-15847734",53.7529994120703,5.72474824252651,1.56743015170339,3.65231473715445,0.000259887081423548,0.0104557486589404,1,819,3,2,0,1,1130,25,0,2,8,302,5,1,5,1,4,0,0
"::chromosome_5:19938609-19948040",62.1883769732931,-2.29650469124743,0.424332918625172,-5.41203519794797,6.231243653209e-08,2.05573343855404e-05,85,64,79,13,11,114,46,78,111,106,75,29,101,136,29,80,226,9,11
"::chromosome_1:1400052-1410554",150.562807709876,-4.05731109523762,0.60619577408449,-6.69307057008966,2.18535682384098e-11,2.99477937051746e-08,184,22,411,11,18,195,33,72,392,191,139,53,355,1020,23,136,530,26,30
"::chromosome_10:22434-26984",135.074928273046,1.29189216099506,0.366487626823114,3.52506351222218,0.000423381269819796,0.0148183444436928,166,942,94,6,200,373,552,66,161,297,134,432,147,235,41,227,159,21,2
"::chromosome_3:20075384-20076083",8.05002787436493,-5.63047886604322,1.78998499977591,-3.145545279289,0.00165777531390194,0.0366872884685255,0,0,6,2,1,2,1,13,5,2,4,0,0,92,1,22,3,0,4
"::chromosome_3:20111839-20112760",21.5450360234019,-4.39128592765226,1.17731708551659,-3.72990928414619,0.00019154872285778,0.00846759428712494,4,6,5,2,0,15,9,58,2,41,13,1,5,80,27,16,43,8,7
"::chromosome_8:18797775-18808888",34.6794120809274,-2.63441191068178,0.756392623539923,-3.482863037919,0.000496082092437225,0.0166122227006939,113,43,12,1,3,61,19,8,78,130,7,21,41,37,63,180,46,3,5
"::chromosome_8:2524214-2529359",157.106745724197,-1.72477014776839,0.496080223147687,-3.47679683101357,0.000507442181930297,0.016897350413249,81,204,109,26,42,384,139,107,311,108,284,285,400,476,156,145,276,35,23
"::chromosome_14:2876652-2879214",6.54753317806928,-2.47333832291909,0.692616497592998,-3.57100694470101,0.000355611464994459,0.0131436063254695,23,6,6,0,2,13,3,5,21,5,9,2,19,10,4,9,17,1,3
