Run,Light_Level,Light_Value,Date,Start.time,Stop.time
1,1,350,20210204,7:21,7:49
1,0,0,20210204,7:53,8:14
2,1,350,20210204,8:56,9:19
2,0,0,20210204,9:21,9:40
3,1,350,20210204,10:11,10:31
3,0,0,20210204,10:33,10:53
4,1,350,20210204,11:12,11:32
4,0,0,20210204,11:34,11:54
1,1,368,20210304,13:51,14:14
1,0,0,20210304,14:17,14:41
2,1,368,20210304,15:27,15:51
2,0,0,20210304,15:54,16:18
3,1,368,20210304,17:15,17:40
3,0,0,20210304,17:44,18:07
4,1,368,20210304,18:50,19:15
4,0,0,20210304,19:20,19:43
