#,Date-Time (EST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,04/30/2021 14:00:00,13.77,3285.76,,,,
2,04/30/2021 14:10:00,13.55,2981.12,,,,
3,04/30/2021 14:20:00,13.77,2835.20,,,,
4,04/30/2021 14:30:00,13.60,2711.04,,,,
5,04/30/2021 14:40:00,13.73,2541.44,,,,
6,04/30/2021 14:50:00,13.64,2395.52,,,,
7,04/30/2021 15:00:00,13.55,2275.84,,,,
8,04/30/2021 15:10:00,13.73,2109.44,,,,
9,04/30/2021 15:20:00,13.60,1944.32,,,,
10,04/30/2021 15:30:00,13.81,1784.96,,,,
11,04/30/2021 15:40:00,13.68,1674.24,,,,
12,04/30/2021 15:50:00,13.60,1453.44,,,,
13,04/30/2021 16:00:00,13.55,1365.76,,,,
14,04/30/2021 16:10:00,13.68,1152.32,,,,
15,04/30/2021 16:20:00,13.64,1024.64,,,,
16,04/30/2021 16:30:00,13.60,840.32,,,,
17,04/30/2021 16:40:00,13.55,673.92,,,,
18,04/30/2021 16:50:00,13.60,538.40,,,,
19,04/30/2021 17:00:00,13.64,463.36,,,,
20,04/30/2021 17:10:00,13.68,399.36,,,,
21,04/30/2021 17:20:00,13.77,303.76,,,,
22,04/30/2021 17:30:00,13.85,238.96,,,,
23,04/30/2021 17:40:00,13.94,159.60,,,,
24,04/30/2021 17:50:00,14.03,76.74,,,,
25,04/30/2021 18:00:00,14.03,0.00,,,,
26,04/30/2021 18:10:00,14.07,0.00,,,,
27,04/30/2021 18:20:00,14.07,0.00,,,,
28,04/30/2021 18:30:00,14.07,0.00,,,,
29,04/30/2021 18:40:00,14.07,0.00,,,,
30,04/30/2021 18:50:00,14.03,0.00,,,,
31,04/30/2021 19:00:00,14.07,0.00,,,,
32,04/30/2021 19:10:00,14.03,0.00,,,,
33,04/30/2021 19:20:00,13.94,0.00,,,,
34,04/30/2021 19:30:00,13.98,0.00,,,,
35,04/30/2021 19:40:00,13.90,0.00,,,,
36,04/30/2021 19:50:00,13.81,0.00,,,,
37,04/30/2021 20:00:00,13.68,0.00,,,,
38,04/30/2021 20:10:00,13.68,0.00,,,,
39,04/30/2021 20:20:00,13.60,0.00,,,,
40,04/30/2021 20:30:00,13.55,0.00,,,,
41,04/30/2021 20:40:00,13.60,0.00,,,,
42,04/30/2021 20:50:00,13.55,0.00,,,,
43,04/30/2021 21:00:00,13.73,0.00,,,,
44,04/30/2021 21:10:00,13.64,0.00,,,,
45,04/30/2021 21:20:00,13.55,0.00,,,,
46,04/30/2021 21:30:00,13.73,0.00,,,,
47,04/30/2021 21:40:00,13.68,0.00,,,,
48,04/30/2021 21:50:00,13.55,0.00,,,,
49,04/30/2021 22:00:00,13.60,0.00,,,,
50,04/30/2021 22:10:00,13.51,0.00,,,,
51,04/30/2021 22:20:00,13.68,0.00,,,,
52,04/30/2021 22:30:00,13.51,0.00,,,,
53,04/30/2021 22:40:00,13.64,0.00,,,,
54,04/30/2021 22:50:00,13.47,0.00,,,,
