"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AST-1065","AST-1147","AST-1412","AST-1560","AST-1567","AST-1617","AST-1722","AST-2000","AST-2007","AST-2302","AST-2360","AST-2398","AST-2404","AST-2412","AST-2512","AST-2523","AST-2563","AST-2729","AST-2755"
"evm.TU.chromosome_11.1878",429.076078886465,-2.81985877974837,0.637514893428868,-4.42320455382899,9.72475872316804e-06,0.0014332798241223,934,507,1713,44,41,524,109,148,919,198,561,281,665,945,128,1077,890,186,59
"evm.TU.chromosome_8.383",106.106104192727,-2.56428225785159,0.751740877784984,-3.41112520767434,0.00064695375715329,0.0321964519144338,183,109,306,12,7,297,119,39,141,398,113,21,130,159,82,216,233,34,0
"evm.TU.chromosome_8.384",799.745098078056,-1.5967595015498,0.490995531262417,-3.25208560950507,0.00114561510648804,0.0472768917175926,3098,952,901,79,449,2484,1103,851,1459,1352,843,446,973,1103,400,1368,1329,235,50
"evm.TU.chromosome_3.1277",94.0811531651587,-1.86593947880333,0.505173864505548,-3.69365798571085,0.000221051067708498,0.0152037790774686,157,81,148,28,20,214,65,44,223,128,189,124,239,197,35,127,87,22,10
"evm.TU.chromosome_5.609",40.3527451475481,-9.33050033381588,1.58923576678779,-5.87106112812635,4.33014560670304e-09,2.97825194241545e-06,45,0,175,5,0,87,0,0,73,32,45,0,46,188,0,90,191,4,14
"evm.TU.chromosome_12.4014",231.134536859527,-7.4596036400301,2.12050962752798,-3.51783530864053,0.000435082293215205,0.0247784446564855,0,5,35,0,9,3779,22,911,15,33,10,0,14,58,0,0,0,4,35
"evm.TU.chromosome_10.1787",124.022901690565,-1.99079712276669,0.610919593048916,-3.25868927010708,0.00111928187212473,0.046548243314533,182,47,273,19,25,220,66,33,244,613,61,111,207,107,57,137,282,44,48
"evm.TU.chromosome_4.874",29.0359090640428,-6.31144012223874,1.92197481751989,-3.28383081021998,0.00102406380114664,0.0435751857401938,0,0,3,0,0,149,8,170,4,0,12,5,0,30,0,0,19,0,4
"evm.TU.chromosome_5.974",1887.7686572948,-1.84049386467436,0.492769587070985,-3.73499889799253,0.000187716009215819,0.013795326660836,4537,1602,5046,346,556,5325,1359,397,2825,7714,1039,1732,1968,1404,557,4516,2456,690,468
"evm.TU.chromosome_13.3849",10.3141059331114,-6.95829592155852,1.46687543388955,-4.74361746116913,2.09935120898747e-06,0.000448899014831996,28,0,0,0,0,22,0,5,66,25,34,0,20,29,2,24,11,6,2
